duration_h,stratum,kind,aep_rain,weight,depth_point_mm,arf,depth_mm,q_peak,t_peak_h,volume_m3,prod_store,rout_store,donor_index,pattern_id,pattern_band,pattern_index,burst_start_step,month
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,4.299039894860355,18.0,459308.4416541932,32.75336266878746,33.395791697880576,47,6897,frequent,4,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.7968421429893958,20.0,85723.96871015517,21.86576136151834,22.44623462143921,46,6899,frequent,6,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,1.0564670713242468,19.0,110289.6400685005,25.64775501122512,17.11929256793376,42,6894,frequent,2,0,3
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.5322187517817131,21.0,56913.075557486154,18.359476814436633,20.806733523582437,37,6896,frequent,3,0,11
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,1.161608533402811,21.0,129683.20514651763,23.08761379488496,31.22266150359006,21,6896,frequent,3,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.534473926269221,20.0,57101.52804446766,18.359476814436633,20.806733523582437,37,6870,frequent,0,0,11
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.3404642438356315,20.0,38213.69530926933,12.305034421067177,24.180018777259853,50,6877,frequent,1,0,8
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,15.045168787329724,15.0,1439299.6950815266,35.47880594481588,54.13187697772172,49,6900,frequent,7,0,6
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,0.5029062414064238,20.0,57568.2752130313,16.361643946991574,25.09288783323028,3,6902,frequent,8,0,11
6.0,0,1,0.8999999999999999,0.001666666666666668,17.91643413747654,0.941,16.85936452336542,1.048344188027737,21.0,109259.08215338574,25.64775501122512,17.11929256793376,42,6902,frequent,8,0,3
