EventID,Duration,TimeStep,Region,Area,Increments
5361,720,30,Murray Basin,200,2.49,1.85,2.07,1.7,1.43,2.32,3.65,6.04,6.91,6.11,4.56,4.85,4.89,3.4,2.91,3.46,6.33,5.51,5.83,5.63,2.92,5.55,5.97,3.62
5362,720,30,Murray Basin,200,2.54,3.12,2.51,2.61,2.66,3.45,5.31,5.54,5.08,5.51,4.62,4.55,5.09,4.53,4.73,5.01,5.53,5.31,5.35,4.67,4.28,3.02,2.24,2.74
5363,720,30,Murray Basin,200,5.02,4.55,4.03,4.75,4.77,6,7.46,4.11,4.02,4.83,7.35,3.62,4.47,5.26,4.39,5.28,2.32,2.47,1.24,2.23,2.3,0.88,4.82,3.83
5364,720,30,Murray Basin,200,2.62,2.58,2.64,4.44,7.14,6.82,8.74,5.97,5.23,4.14,3.39,3.49,4.57,3.2,3.05,3.33,4.26,6.03,2.79,1.63,2.54,2.81,5.73,2.86
5365,720,30,Murray Basin,200,0.05,0.12,0.9,1.24,1.93,4.59,5.49,7.78,7.94,4.82,3.88,2.94,6.26,7.08,5.12,5.73,1.91,0.98,3.73,5.24,6.54,9.58,3.26,2.89
5366,720,30,Murray Basin,200,5.41,5.11,4.31,7.38,7.6,7.7,12.79,9.32,5.21,3.87,0.39,0.62,0.46,0.44,0.53,0.39,2.63,2.57,3.49,3.86,4.34,4.6,3.84,3.14
5367,720,30,Murray Basin,500,2.64,3.3,3.71,2.54,2.45,3.5,3.26,3.33,4.06,4.04,5.42,4.86,5.76,6.35,7.03,6.53,5.51,5.08,4.12,3.94,3.15,2.74,3.73,2.95
5368,720,30,Murray Basin,500,3.31,3.74,1.21,1.72,3.85,6.9,5.47,4.65,3.53,1.48,3.04,2.75,3.05,3.31,4.14,1.57,3.17,6.44,2.92,5.81,4.89,7.87,9.02,6.16
5369,720,30,Murray Basin,500,3.57,2.19,2.91,3.7,1.71,3.58,1.88,4.04,2.56,3.97,2.86,2.06,3.4,4.27,6.08,4.71,9.19,7.42,4.73,3.33,6.01,4.87,4.37,6.59
5370,720,30,Murray Basin,500,2.09,2.13,1.97,2.2,2.84,4.06,4.1,3.71,3.63,4.16,4.64,5.93,5.83,5.81,5.34,4.93,2.58,2.53,1.47,3.57,6.34,8.35,8.73,3.06
5371,720,30,Murray Basin,500,2.65,2.97,2.65,5.15,7.06,7.46,9.06,6.63,4.98,4.01,3.14,3.17,3.98,2.93,2.95,3.63,4.09,5.63,2.9,1.64,2.84,2.39,5.61,2.48
5372,720,30,Murray Basin,500,2.75,6.51,8.01,4.4,3.11,4.79,3.23,4.32,5.82,2.81,5.49,7.22,8.43,5.09,2.54,2.84,3.07,2.4,3.54,2.89,3.1,2.22,2.94,2.48
5373,720,30,Murray Basin,500,2.34,4.07,2.63,2.51,3.04,3.05,2.94,4.86,3.84,3.57,4.6,4.92,4.59,5.48,4.39,4.74,5.08,5.42,5.45,5.45,5.16,5.32,3.18,3.37
