EventID,Region,Region (source),Duration,TimeStep,Original Burst Depth (mm),Area,AspectRatio,Rotation,Burst Start Time,Lat,Long
5497,Murray Basin,Murray Basin,1080,60,113.94,10000,2.3,1.5707963,786,-35.4875,149.5125
5498,Murray Basin,Murray Basin,1080,60,96.21,10000,1.5,1.5707963,1919,-35.4875,149.0125
5499,Murray Basin,Murray Basin,1080,60,94.79,10000,1.5,2.3561945,1871,-36.6875,146.0125
5500,Murray Basin,Murray Basin,1080,60,89.21,10000,3.6,1.5707963,251,-36.3875,149.1125
5501,Murray Basin,Murray Basin,1080,60,88.59,10000,2.3,0,3050,-37.2875,146.3125
5502,Murray Basin,Murray Basin,1080,60,88.23,10000,2.3,1.5707963,392,-35.0875,147.9125
5503,Murray Basin,Murray Basin,1080,60,84.32,10000,1.5,1.5707963,219,-36.5875,146.7125
5504,Murray Basin,Murray Basin,1080,60,83.34,10000,1.5,0.7853982,384,-36.0875,147.0125
5505,Murray Basin,Murray Basin,1080,60,83.04,10000,2.3,1.5707963,1372,-35.2875,149.2125
5506,Murray Basin,Murray Basin,1080,60,82.63,10000,2.3,1.5707963,2308,-36.6875,146.9125
5507,Murray Basin,Murray Basin,1080,60,101.99,20000,3.6,1.5707963,179,-34.6125,149.3875
5508,Murray Basin,Murray Basin,1080,60,93.4,20000,1.5,1.5707963,787,-35.4875,149.5125
5509,Murray Basin,Murray Basin,1080,60,78.35,20000,2.3,0.7853982,3056,-37.2375,145.7625
5510,Murray Basin,Murray Basin,1080,60,73.95,20000,2.3,1.5707963,559,-34.2375,149.6375
5511,Murray Basin,Murray Basin,1080,60,73.24,20000,3.6,0,2231,-36.3625,149.1375
5512,Murray Basin,Murray Basin,1080,60,71.92,20000,1.5,1.5707963,324,-37.4875,143.8875
5513,Murray Basin,Murray Basin,1080,60,70.07,20000,2.3,1.5707963,1372,-35.2375,149.1375
5514,Murray Basin,Murray Basin,1080,60,68.49,20000,1.5,1.5707963,3331,-37.3625,146.3875
5515,Murray Basin,Murray Basin,1080,60,67.54,20000,2.3,1.5707963,1873,-36.6125,146.3875
5516,Murray Basin,Murray Basin,1080,60,67,20000,2.3,0,2844,-34.1125,148.8875
5517,Murray Basin,Murray Basin,1080,60,92.65,40000,2.3,1.570796,179,-34.6125,149.1375
5518,Murray Basin,Murray Basin,1080,60,76.34,40000,1.5,1.570796,3052,-37.2375,145.6375
5519,Murray Basin,Murray Basin,1080,60,72.22,40000,1.5,2.356194,779,-34.1125,149.8875
5520,Murray Basin,Murray Basin,1080,60,66.3,40000,1.5,1.570796,2233,-37.1125,147.6375
5521,Murray Basin,Murray Basin,1080,60,61.44,40000,1.5,0,2844,-33.9875,149.0125
5522,Murray Basin,Murray Basin,1080,60,57.8,40000,1.5,1.570796,220,-36.3625,146.3875
5523,Murray Basin,Murray Basin,1080,60,56.72,40000,1.5,2.356194,2156,-34.3625,149.6375
5524,Murray Basin,Murray Basin,1080,60,55.16,40000,1.5,1.570796,324,-37.3625,145.0125
5525,Murray Basin,Murray Basin,1080,60,54.49,40000,3.6,1.570796,336,-36.4875,144.8875
5526,Murray Basin,Murray Basin,1080,60,54.13,40000,2.3,1.570796,1372,-34.9875,149.2625
5527,Murray Basin,Murray Basin,1440,60,165.374,100,1.5,0.7853982,3047,-37.4625,145.2625
5528,Murray Basin,Murray Basin,1440,60,155.241,100,1.5,1.5707963,3058,-36.7625,146.3125
5529,Murray Basin,Murray Basin,1440,60,143.416,100,1.5,0.7853982,2299,-36.6625,147.4375
5530,Murray Basin,Murray Basin,1440,60,132.915,100,3.6,1.5707963,1296,-35.7375,149.3875
5531,Murray Basin,Murray Basin,1440,60,132.801,100,1.5,1.5707963,1370,-35.1875,149.1125
5532,Murray Basin,Murray Basin,1440,60,128.908,100,1.5,0,1360,-35.4625,148.8375
5533,Murray Basin,Murray Basin,1440,60,126.417,100,1.5,1.5707963,1063,-35.5125,148.8875
5534,Murray Basin,Murray Basin,1440,60,116.565,100,1.5,0,646,-35.3875,148.9625
5535,Murray Basin,Murray Basin,1440,60,105.335,100,1.5,1.5707963,2902,-36.8125,146.3375
5536,Murray Basin,Murray Basin,1440,60,103.072,100,1.5,0,2898,-36.9125,146.3625
5537,Murray Basin,Murray Basin,1440,60,190.776,200,2.3,1.5707963,1870,-36.7375,146.4375
5538,Murray Basin,Murray Basin,1440,60,161.957,200,2.3,0.7853982,3047,-37.4625,145.2375
5539,Murray Basin,Murray Basin,1440,60,150.287,200,2.3,0.7853982,3058,-36.7625,146.3125
5540,Murray Basin,Murray Basin,1440,60,137.58,200,3.6,1.5707963,1296,-35.7125,149.4125
5541,Murray Basin,Murray Basin,1440,60,136.145,200,1.5,1.5707963,2299,-36.6625,147.4125
5542,Murray Basin,Murray Basin,1440,60,129.883,200,1.5,0,1894,-35.3625,148.8375
5543,Murray Basin,Murray Basin,1440,60,122.561,200,2.3,1.5707963,1064,-35.5125,148.9375
5544,Murray Basin,Murray Basin,1440,60,121.435,200,1.5,1.5707963,1360,-35.4625,148.8125
5545,Murray Basin,Murray Basin,1440,60,120.274,200,2.3,2.3561945,1369,-35.3875,149.0125
5546,Murray Basin,Murray Basin,1440,60,104.277,200,2.3,0.7853982,1745,-35.8375,148.9125
5547,Murray Basin,Murray Basin,1440,60,193.214,500,2.3,1.5707963,785,-35.7125,149.5125
5548,Murray Basin,Murray Basin,1440,60,174.146,500,2.3,1.5707963,1870,-36.7375,146.3625
5549,Murray Basin,Murray Basin,1440,60,154.726,500,1.5,1.5707963,1296,-35.7125,149.5125
5550,Murray Basin,Murray Basin,1440,60,151.619,500,2.3,0.7853982,3047,-37.4625,145.2625
5551,Murray Basin,Murray Basin,1440,60,139.326,500,2.3,0.7853982,3058,-36.7375,146.3125
5552,Murray Basin,Murray Basin,1440,60,125.583,500,2.3,1.5707963,2299,-36.6625,147.3625
5553,Murray Basin,Murray Basin,1440,60,122.077,500,2.3,1.5707963,2160,-36.1125,149.3625
5554,Murray Basin,Murray Basin,1440,60,116.515,500,2.3,1.5707963,1064,-35.5375,148.9625
5555,Murray Basin,Murray Basin,1440,60,115.854,500,2.3,1.5707963,1894,-35.3375,148.8625
5556,Murray Basin,Murray Basin,1440,60,110.168,500,2.3,1.5707963,1369,-35.4125,148.8875
5557,Murray Basin,Murray Basin,1440,60,170.19,1000,2.3,2.356194,1917,-35.4875,148.8625
5558,Murray Basin,Murray Basin,1440,60,161.32,1000,1.5,1.570796,1869,-36.7375,146.3125
