#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: August, 2024"
#
#,"For description of data owner codes see http://www.bom.gov.au/water/hrs/content/data_owners.csv"
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
AWRC Station Number,Station Name,Latitude,Longitude,Jurisdiction,Catchment Area (km2),Data Owner Name,Data Owner Code
219001,Rutherford Creek at Brown Mountain,-36.59315,149.44185,NSW,14.4,Water NSW,w00231
219003,Bemboka River at Morans Crossing,-36.6674,149.6469,NSW,313.7,Water NSW,w00231
219006,Tantawangalo Creek at Tantawangalo Mountain (Dam),-36.78,149.54,NSW,83.1,Water NSW,w00231
219017,Double Creek near Brogo,-36.6,149.8094,NSW,151.9,Water NSW,w00231
219022,Tantawangalo Creek at Candelo Dam Site,-36.7319,149.6842,NSW,200.1,Water NSW,w00231
220003,Pambula River at Lochiel,-36.9414,149.8194,NSW,105.6,Water NSW,w00231
221002,Wallagaraugh River at Princes Highway,-37.3719,149.7125,NSW,477.2,Water NSW,w00231
222004,Little Plains River at Wellesley (Rowes),-36.9969,149.0925,NSW,610.5,Water NSW,w00231
222016,Pinch River at the Barry Way,-36.7936,148.4033,NSW,156.4,Water NSW,w00231
401009,Maragle Creek at Maragle,-35.9266,148.1009,NSW,217.3,Water NSW,w00231
401012,Murray River at Biggara,-36.31875,148.0519476,NSW,1257,Water NSW,w00231
401013,Jingellic Creek at Jingellic,-35.8972,147.6917,NSW,395.0,Water NSW,w00231
401015,Bowna Creek at Yambla,-35.91625,146.975091,NSW,290.1,Water NSW,w00231
401016,Welumba Creek at the Square,-36.04,148.12,NSW,50.7,Water NSW,w00231
401017,Mannus Creek at Yarramundi,-35.77,147.93,NSW,194.3,Water NSW,w00231
410024,Goodradigbee River at Wee Jasper (Kashmir),-35.1672,148.6855,NSW,990.0,Water NSW,w00231
410026,Yass River at Yass,-34.8367,148.9103,NSW,1229,Water NSW,w00231
410033,Murrumbidgee River at Mittagang Crossing,-36.17,149.09,NSW,1890,Water NSW,w00231
410038,Adjungbilly Creek at Darbalara,-35.0192,148.2457,NSW,390.9,Water NSW,w00231
410044,Muttama Creek at Coolac,-34.9319,148.1616,NSW,1072,Water NSW,w00231
410047,Tarcutta Creek at Old Borambola,-35.1639,147.6543,NSW,1653,Water NSW,w00231
410057,Goobarragandra River at Lacmalac,-35.32905,148.34845,NSW,667.9,Water NSW,w00231
410061,Adelong Creek at Batlow Road,-35.33165,148.06915,NSW,146.1,Water NSW,w00231
410062,Numeralla River at Numeralla School,-36.1793,149.3485,NSW,669.8,Water NSW,w00231
410088,Goodradigbee River at Brindabella (No.2 and No.3-Cabbans),-35.42,148.73,NSW,432.1,Water NSW,w00231
410091,Billabong Creek at Walbundrie,-35.69,146.72,NSW,2808,Water NSW,w00231
410141,Micaligo Creek at Michelago,-35.7053,149.1488,NSW,189.8,Water NSW,w00231
410156,Kyeamba Creek at Book Book,-35.35,147.55,NSW,145.4,Water NSW,w00231
411003,Butmaroo Creek at Butmaroo,-35.2567,149.5422,NSW,61.1,Water NSW,w00231
412028,Abercrombie River at Abercrombie,-33.9548,149.3252,NSW,2631,Water NSW,w00231
412029,Boorowa River at Prossers Crossing,-34.1441,148.8101,NSW,1552,Water NSW,w00231
412050,Crookwell River at Narrawa North,-34.31125,149.167269,NSW,761.9,Water NSW,w00231
412066,Abercrombie River at Hadley No.2,-34.1128,149.5978,NSW,1630,Water NSW,w00231
416003,Tenterfield Creek at Clifton,-29.02915,151.72665,NSW,552.6,Water NSW,w00231
416010,Macintyre River at Wallangra,-29.2642,150.8984,NSW,2134,Water NSW,w00231
416016,Macintyre River at Inverell (Middle Creek),-29.7936,151.1263,NSW,751.2,Water NSW,w00231
416020,Ottleys Creek at Coolatai,-29.234,150.7581,NSW,383.9,Water NSW,w00231
416023,Deepwater River at Bolivia,-29.2929,151.9234,NSW,538.5,Water NSW,w00231
416032,Mole River at Donaldson,-29.017,151.5986,NSW,1592,Water NSW,w00231
418005,Copes Creek at Kimberley,-29.9168215,151.1143215,NSW,249.3,Water NSW,w00231
418014,Gwydir River at Yarrowyck,-30.4674403,151.3624403,NSW,834.6,Water NSW,w00231
418015,Horton River at Rider (Killara),-29.83,150.35,NSW,1955,Water NSW,w00231
418017,Myall Creek at Molroy,-29.7992,150.5832,NSW,865.2,Water NSW,w00231
418021,Laura Creek at Laura,-30.2293,151.1857,NSW,346.0,Water NSW,w00231
418025,Halls Creek at Bingara,-29.9361,150.5716,NSW,126.4,Water NSW,w00231
418027,Horton River at Horton Dam Site,-30.2081,150.4281,NSW,204.9,Water NSW,w00231
418032,Tycannah Creek at Horseshoe Lagoon,-29.6719,150.0426,NSW,872.6,Water NSW,w00231
419005,Namoi River at North Cuerindi,-30.6784993,150.7784993,NSW,2532,Water NSW,w00231
419010,Macdonald River at Woolbrook,-30.9669,151.3448,NSW,840.8,Water NSW,w00231
419016,Cockburn River at Mulla Crossing,-31.0614,151.1254,NSW,896.6,Water NSW,w00231
419029,Halls Creek at Ukolan,-30.7054,150.8259,NSW,362.8,Water NSW,w00231
419035,Goonoo Goonoo Creek at Timbumburi,-31.2726,150.9147,NSW,456.0,Water NSW,w00231
419054,Swamp Oak Creek at Limbri,-31.0396,151.1694,NSW,399.9,Water NSW,w00231
420003,Belar Creek at Warkton (Blackburns),-31.3861,149.2011,NSW,130.2,Water NSW,w00231
420017,Castlereagh River at Hidden Valley,-31.4197,149.3103,NSW,1154,Water NSW,w00231
421018,Bell River at Neurea,-32.6808,148.9478,NSW,1628,Water NSW,w00231
421026,Turon River at Sofala,-33.0819,149.689,NSW,884.0,Water NSW,w00231
421042,Talbragar River at Elong Elong,-32.0939,149.0598,NSW,3187,Water NSW,w00231
421048,Little River at Obley No.2,-32.7072,148.5511,NSW,576.2,Water NSW,w00231
421050,Bell River at Molong,-33.03,148.95,NSW,371.1,Water NSW,w00231
421055,Coolbaggie Creek at Rawsonville,-32.1442,148.4549,NSW,674.0,Water NSW,w00231
424002,Paroo River at Willara Crossing,-29.23875,144.455339,NSW,35239,Water NSW,w00231
G0050115,Hugh River - South Road Crossing,-24.35332906,133.4333291,NT,3324,"Department of Environment, Parks and Water Security",w00067
