EventID,Duration,TimeStep,Region,Area,Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3593,720,30,Central Slopes,500,2.65,2.97,2.65,5.15,7.06,7.46,9.06,6.63,4.98,4.01,3.14,3.17,3.98,2.93,2.95,3.63,4.09,5.63,2.9,1.64,2.84,2.39,5.61,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594,720,30,Central Slopes,500,2.75,6.51,8.01,4.4,3.11,4.79,3.23,4.32,5.82,2.81,5.49,7.22,8.43,5.09,2.54,2.84,3.07,2.4,3.54,2.89,3.1,2.22,2.94,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3595,720,30,Central Slopes,1000,0.01,3.23,3.85,3.58,10.22,20.64,10.17,8.5,2.62,2.55,2.66,3.83,3.56,3.01,4.47,3.43,3.85,3.34,2.13,1.28,1.37,0.82,0.64,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3596,720,30,Central Slopes,1000,11.59,8.94,3,0.85,0.03,0.63,0.2,0.03,0,0,0,0.9,0.35,1.17,5.26,8.87,5.95,7.54,4.01,5.48,15.62,8.81,7.03,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3597,720,30,Central Slopes,1000,12.49,9.35,13.33,9.35,4.76,4.7,3.6,3.21,1.38,1.1,1.18,3.79,6.43,4.9,4.28,2,2.69,6.25,3.1,0.46,0.93,0.65,0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3598,720,30,Central Slopes,1000,4.06,11.35,9.8,6.55,3.14,2.46,4.7,5.23,5.99,8.03,10.48,6.29,5.04,2.09,1.96,0.73,0.35,0.29,2.49,3.47,3.06,1.63,0.76,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3599,720,30,Central Slopes,1000,0.99,5.3,4.43,5.88,3.29,1.14,2.22,4.98,5.65,8.03,2.55,4.32,3.33,4.47,9.97,12.86,7.06,3.1,1.93,1.43,2.79,2.57,1.17,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600,720,30,Central Slopes,1000,0.74,2.05,2.76,14.32,15.73,4.62,2.01,2.6,0.96,2.07,1.65,1.08,1.33,0.43,0.75,0.16,0.88,3.27,12.39,19.7,4.66,4.12,1.03,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3601,720,30,Central Slopes,1000,8.29,7.35,4.72,7.36,4.23,3.67,4.36,4.42,5.27,4.59,4.45,4.35,3.4,2.83,2.72,3.16,2.59,2.55,3.07,4.93,4.06,3.9,2.61,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3602,720,30,Central Slopes,1000,0.1,6.54,3.99,2.4,4.13,3.48,2.15,2.84,3.23,12.36,13.9,13.57,12.87,8.35,5.79,3.53,0.7,0.03,0.02,0.02,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603,720,30,Central Slopes,1000,0,0,0,0,0,0,0.19,1.82,7.37,10.37,10.47,7.48,5.45,7.2,6.82,3.98,4.92,2.77,1.8,6.82,10.32,7.33,3.37,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3604,720,30,Central Slopes,1000,0.48,1.43,2.04,1.35,3.86,2.89,2.08,6.87,8.91,7.92,7.29,9.67,7.48,7.11,12.1,6.75,0,0.06,0.11,0,2.17,6.44,2.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3605,720,30,Central Slopes,2500,5.4,3.71,6.76,1.75,6.49,10.48,5.05,6.1,4.68,4.57,8.95,10.03,2.05,1.83,0.42,0.68,2.12,1.64,0.48,6.32,4.71,3.31,1.46,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3606,720,30,Central Slopes,2500,0.02,2.83,3.69,4.03,10.01,19.63,9.61,6.57,2.43,2.56,2.7,4.05,3.7,3.34,5.04,4.24,4.5,3.68,2.48,1.48,1.58,0.88,0.68,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3607,720,30,Central Slopes,2500,0.57,0.45,2.38,1.9,3.64,3.2,2.03,1.35,0.52,3.97,3.24,6.46,4.06,4.8,4.76,8.9,8.41,7.27,7.94,9.19,7,4.79,2.28,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3608,720,30,Central Slopes,2500,1.75,0.65,3.68,6.11,6.41,5.23,5.79,4.26,4.2,5.14,7.15,4.04,6.66,6.09,1.79,1.09,3.71,6.14,6.02,3.81,3.51,2.52,2.2,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3609,720,30,Central Slopes,2500,4.02,3.94,1.72,3.71,2.66,1.55,4.57,6.14,8.09,5.65,7.16,6.37,6.39,4.68,4.36,4.06,4.04,2.87,3.06,3.6,2.48,3.46,3.33,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3610,720,30,Central Slopes,2500,4.92,5.03,4.68,3.25,2.91,3.42,2.37,2.22,3.2,3.56,3.48,2.37,3.81,5.43,5.43,4.38,5.77,4.85,4.54,5.24,5.56,4.01,4.66,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3611,720,30,Central Slopes,2500,0.03,0.11,3.49,0.62,1.71,1.04,4.51,4.35,3.05,11.32,14.01,2.96,18.42,4,8.46,9.2,4.43,0.95,1.9,1.33,1.36,1.26,0.98,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3612,720,30,Central Slopes,2500,0.98,5.09,4.3,5.69,3.25,1.16,2.26,4.97,5.6,7.79,2.55,4.37,3.42,4.69,9.95,12.88,7.1,3.27,1.97,1.42,2.89,2.68,1.16,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3613,720,30,Central Slopes,2500,1.08,2.1,9.64,6.26,5.64,7.49,4.2,3.93,4.05,4.66,4.86,4.08,4.78,4.06,3.19,2.78,2.87,3.36,2.27,2.87,3.07,5.55,3.66,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3614,720,30,Central Slopes,2500,2.23,2.26,2.89,3.08,3.64,4.16,4.51,4.87,3.87,3.18,3.99,5.59,4.18,4.59,4.39,4.65,6.14,4.73,2.83,4.65,4.21,4.67,7.02,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3615,720,30,Central Slopes,5000,3.38,4.63,5.69,3.14,4.19,4.48,5.33,8.92,7.99,7.42,6.06,8.44,8.01,7.63,4.27,2.83,1.81,1.21,0.9,0.47,0.49,0.78,1.27,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3616,720,30,Central Slopes,5000,4.51,3.75,2,3.76,3.76,1.95,6.1,8.09,10.26,6.3,8.4,6.93,5.44,5.88,3.06,2.7,2.51,1.85,1.97,2.05,1.6,2.6,3.46,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,720,30,Central Slopes,5000,3.48,6.36,10.36,17.33,9.66,6.34,2.61,2.52,2.63,3.91,3.44,3.69,4.63,4.34,4.35,4.09,2.72,1.58,1.85,1.1,0.87,0.3,0.94,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3618,720,30,Central Slopes,5000,0.22,2.14,3.05,6.12,2.37,3.45,4.19,13.4,8.59,8.39,5.94,6.87,8.17,11.17,11.78,1.61,1.26,0.54,0.04,0,0.03,0.19,0.33,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3619,720,30,Central Slopes,5000,3.17,3.84,12.92,2.55,1.05,6.06,4.07,2.6,2,2.65,2.18,7.44,9.01,6.3,7.68,4.95,5.18,3.78,3.53,1.61,1.41,1.73,1.95,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3620,720,30,Central Slopes,5000,0.61,0.68,1.97,1.61,2.77,3.09,2.37,1.81,0.59,3.52,3.67,5.97,3.92,4.27,4.58,8.59,8.63,7.22,8.44,9.27,7.55,5.2,2.65,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3621,720,30,Central Slopes,5000,4.13,0.72,1.8,1.13,4.49,4.29,2.88,11.18,13.61,2.82,19.56,4.01,7.72,8.51,4.26,1.03,2.03,1.43,1.45,1.36,1.06,0.53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3622,720,30,Central Slopes,5000,4.52,4.77,4.32,3.07,2.7,3.27,2.11,2.08,3.01,3.59,3.46,2.46,3.89,5.51,5.67,4.5,6.02,5.2,4.82,5.46,5.67,4.36,4.61,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3623,720,30,Central Slopes,5000,2.92,5.08,5.35,4.77,5.92,5.17,4.36,4.62,5.91,4.54,6.39,7.04,2.95,1.33,3.69,6.18,6.25,4.57,4.75,2.64,2.05,2.07,1.06,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3624,720,30,Central Slopes,5000,2.04,1.92,2.24,4.76,9.17,6.18,3.85,4.7,3.77,4.63,3.9,6.75,6.48,3.93,4.69,4.15,4.73,4.38,3.44,3.4,3.52,4.44,1.71,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3625,720,30,Central Slopes,10000,1.38,4.39,7.49,8.45,7.9,5.71,3.97,3.84,6.85,3.93,4.82,2.73,2.83,2.76,4.85,3.6,4.76,5,4.42,1.7,2.25,2.85,1.09,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
